['you look fat', '太っ--動 て--助 見える--動 よ--助']
['can i go too', '私--名 も--助 行っ--動 て--助 も--助 いい--形']
['can i hug you', 'ぎゅ--名 ー--名 し--動 て--助 いい--形']
['check please', '勘定--名 お願い--名 し--動 ます--助']
['check please', '勘定--名 書--名 を--助 頼む--動 よ--助']
['check please', '勘定--名 書--名 を--助 お願い--名 し--動 ます--助']
['check please', '勘定--名 書--名 を--助 持っ--動 て--助 き--動 て--助 くれ--動']
['check please', 'お--接 勘定--名 し--動 て--助 下さい--動']
['check please', 'お--接 会計--名 お願い--名 し--動 ます--助']
['check please', 'お--接 勘定--名 お願い--名 し--動 ます--助']
['come right in', 'お--接 入り--動 ください--動']
['did tom reply', 'トム--名 から--助 返事--名 来--動 た--助']
['do it quickly', 'さっさと--副 やり--動 なさい--動']
['do you follow', '分かり--動 ます--助 か--助']
['does tom know', 'トム--名 は--助 知っ--動 て--助 いる--動 の--助']
['dont be late', '遅れる--動 な--助 よ--助']
['dont be long', '早く--形 帰っ--動 て--助 き--動 なさい--動 よ--助']
['dont be long', '早く--形 帰っ--動 て--助 き--動 なさい--動']
['dont be long', 'すぐ--副 戻っ--動 て--助 こい--動 よ--助']
['dont be mean', '意地悪--名 し--動 ない--助 で--助']
['dont be rash', '無茶--名 な--助 こと--名 する--動 な--助 よ--助']
['dont be rash', '無茶--名 な--助 こと--名 を--助 する--動 な--助']
['dont be rude', '失礼--名 の--助 ない--形 よう--名 に--助 し--動 なさい--動']
['dont do this', 'これ--名 は--助 し--動 て--助 は--助 いけ--動 ませ--助 ん--助']
['dont do this', 'これ--名 を--助 やっ--動 ちゃ--助 だめ--名 だ--助 よ--助']
['dont get fat', '太っ--動 て--助 は--助 駄目--名 です--助 よ--助']
['dont get mad', '腹--名 を--助 立てる--動 な--助']
['dont get mad', 'かっか--名 し--動 ない--助 で--助']
['dont get mad', 'かっか--名 する--動 な--助']
['dont get mad', 'かっか--名 する--動 な--助 よ--助']
['dont give up', '諦め--動 ない--助 で--助']
['dont give up', 'あきらめる--動 な--助']
['dont give up', '諦め--動 ちゃ--助 駄目--名 だ--助']
['dont give up', '諦め--動 て--助 は--助 いけ--動 ませ--助 ん--助']
['dont give up', '諦め--動 ない--助 で--助']
['dont give up', '降参--名 する--動 な--助']
['dont give up', 'あきらめる--動 な--助']
['dont give up', '諦め--動 ちゃ--助 駄目--名 だ--助']
['dont give up', '諦め--動 て--助 は--助 いけ--動 ませ--助 ん--助']
['dont hang up', '切ら--動 ない--助 で--助']
['dont hang up', '切ら--動 ない--助 で--助']
['dont hate me', '私--名 を--助 憎む--動 な--助']
['dont rush me', '急かさ--動 ない--助 で--助']
['dont sass me', '偉--形 そう--名 な--助 口--名 を--助 たたく--動 な--助']
['dont sass me', '生意気--名 を--助 言う--動 ん--名 じゃ--助 ない--助']
['eat something', '何--名 か--助 食べ--動 て--助']
['finish eating', '食べ--動 終え--動 なさい--動']
['fry me an egg', '卵--名 を--助 焼い--動 て--助 くれ--動']
['get a move on', '急ぎ--動 なさい--動']
['get a move on', '急ぎ--動 なさい--動']
['get a move on', '急げ--動']
['get over here', 'こちら--名 に--助 来--動 なさい--動']
['get over here', 'こっち--名 に--助 来--動 て--助']
['get over here', 'こっち--名 に--助 来い--動 よ--助']
['get over here', 'こっち--名 へ--助 おいで--名']
['get over here', 'こっち--名 おいで--名']
['give him time', '彼--名 を--助 長い--形 目--名 で--助 見--動 て--助 やり--動 なさい--動']
['give me a hug', '抱きしめ--動 て--助']
['give me a hug', 'ぎゅ--名 ー--名 し--動 て--助']
['go over there', '向こう--名 へ--助 行け--動']
['have some tea', 'お茶--名 で--助 も--助 どうぞ--副']
['he came first', '彼--名 が--助 最初--名 に--助 来--動 た--助']
['he cant read', '彼--名 は--助 読め--動 ませ--助 ん--助']
['he cant swim', '彼--名 は--助 水泳--名 が--助 出来--動 ない--助']
['he cant swim', '彼--名 は--助 泳ぐ--動 こと--名 が--助 出来--動 ませ--助 ん--助']
['he cant swim', '彼--名 は--助 泳げ--動 ない--助']
['he dug a hole', '彼--名 は--助 穴--名 を--助 掘っ--動 た--助']
['he eats a lot', '彼--名 は--助 たくさん--名 食べる--動']
['he fooled her', '彼--名 は--助 彼女--名 を--助 騙し--動 た--助']
['he grows rice', '彼--名 は--助 稲--名 を--助 育て--動 て--助 いる--動']
['he has a book', '彼--名 は--助 本--名 を--助 持っ--動 て--助 いる--動']
['he has a cold', '彼--名 は--助 風邪--名 を--助 ひい--動 て--助 いる--動']
['he hugged her', '彼--名 は--助 彼女--名 を--助 抱きしめ--動 た--助']
['he is english', '彼--名 は--助 イギリス--名 人--名 です--助']
['he is foolish', '彼--名 は--助 ばか--名 だ--助']
['he is foolish', '彼--名 は--助 愚か--名 だ--助']
['he is my boss', '彼--名 は--助 私--名 の--助 上司--名 です--助']
['he is out now', '彼--名 は--助 いま--名 外出--名 中--名 だ--助']
['he is skating', '彼--名 は--助 スケート--名 を--助 し--動 て--助 いる--動']
['he killed him', '彼--名 は--助 その--連 男--名 を--助 殺し--動 た--助']
['he lied to me', '彼--名 は--助 私--名 に--助 嘘--名 を--助 つい--動 た--助']
['he looks pale', '彼--名 は--助 青い--形 顔--名 を--助 し--動 て--助 いる--動']
['he looks pale', '彼--名 は--助 顔色--名 が--助 悪い--形']
['he looks well', '彼--名 は--助 元気--名 そう--名 だ--助']
['he made me go', '彼--名 は--助 私--名 を--助 行か--動 せ--動 た--助']
['he seems kind', '彼--名 は--助 親切--名 そう--名 だ--助']
['he shot at me', 'あいつ--名 僕--名 を--助 めがけ--動 て--助 撃っ--動 た--助 ん--名 だ--助 よ--助']
['he tries hard', '彼--名 は--助 精一杯--副 努力--名 し--動 て--助 いる--動']
['he walks fast', '彼--名 は--助 歩く--動 の--名 が--助 速い--形']
['he was crying', '彼--名 は--助 泣い--動 て--助 い--動 た--助']
['he went crazy', '彼--名 は--助 気--名 が--助 狂っ--動 た--助']
['hes annoying', '彼--名 は--助 うっとうしい--形 やつ--名 だ--助']
['hes in tokyo', '彼--名 は--助 東京--名 に--助 い--動 ます--助']
['hes studying', '彼--名 は--助 勉強--名 中--名 です--助']
['hes too busy', '彼--名 は--助 忙し--形 すぎる--動 ん--名 だ--助 よ--助']
['hes very ill', '彼--名 は--助 とても--副 具合--名 が--助 悪い--形']
['here or to go', 'こちら--名 で--助 召し上がり--動 ます--助 か--助 、--記 それとも--接 お--接 持ち帰り--名 です--助 か--助']
['hi everybody', 'みなさん--名 、--記 こんにちは--感']
['his nose bled', '彼--名 は--助 鼻血--名 を--助 出し--動 た--助']
['hold the door', '戸--名 を--助 押さえ--動 て--助 くれ--動']
['how about you', '君--名 は--助 どう--副 だい--名']
['how about you', 'あなた--名 は--助 どう--副']
['how beautiful', 'なんて--助 きれい--名 な--助 こと--名']
['how do i look', '私--名 って--助 、--記 どう--副 見え--動 ます--助 か--助']
['how old is he', '何--名 歳--名 です--助 か--助']
['how was lunch', '昼食--名 は--助 どう--副 だっ--助 た--助']
['how was lunch', '昼食--名 は--助 いかが--名 でし--助 た--助 か--助']
['hurry up tom', '急い--動 で--助 、--記 トム--名']
['i admired tom', 'トム--名 に--助 憧れ--動 て--助 い--動 た--助']
['i am american', '私--名 は--助 アメリカ--名 人--名 です--助']
['i am japanese', '私--名 は--助 日本人--名 です--助']
['i am a muslim', '私--名 は--助 ムスリム--名 です--助']
['i am busy now', '今--名 、--記 忙しい--形 の--助']
['i am busy now', 'ちょうど--副 今--名 は--助 忙しい--形']
['i am to blame', '私--名 が--助 悪い--形 ん--名 です--助']
['i believe you', '僕--名 は--助 君--名 を--助 信じる--動']
['i can see tom', 'トム--名 が--助 見える--動']
['i cant dance', '私--名 は--助 踊れ--動 ませ--助 ん--助']
['i cant do it', '俺--名 に--助 は--助 無理--名 だ--助']
['i cant do it', '私--名 に--助 は--助 でき--動 ませ--助 ん--助']
['i cant sleep', '眠れ--動 ない--助 ん--名 です--助 よ--助']
['i did nothing', '何--名 も--助 し--動 なかっ--助 た--助']
['i didnt care', '私--名 は--助 構わ--動 なかっ--助 た--助']
['i didnt mind', '私--名 は--助 構わ--動 なかっ--助 た--助']
['i do think so', '本当に--副 そう--副 思い--動 ます--助']
['i dont agree', '私--名 は--助 そう--副 は--助 思い--動 ませ--助 ん--助']
['i dont agree', 'そう--副 は--助 思い--動 ませ--助 ん--助']
['i dont drink', '私--名 は--助 酒類--名 は--助 飲み--動 ませ--助 ん--助']
['i dont drink', 'わたし--名 は--助 アルコール--名 を--助 飲み--動 ませ--助 ん--助']
['i enjoy chess', '私--名 は--助 チェス--名 が--助 好き--名 です--助']
['i feel unwell', '気分--名 が--助 悪い--形']
['i felt hungry', '空腹--名 を--助 感じ--動 た--助']
['i felt lonely', '私--名 は--助 孤独--名 を--助 感じ--動 た--助']
['i felt lonely', '私--名 は--助 寂しかっ--形 た--助']
['i got thirsty', '喉--名 が--助 渇い--動 た--助']
['i hate french', 'フランス語--名 が--助 憎い--形']
['i hate coffee', '私--名 は--助 コーヒー--名 が--助 大嫌い--名 です--助']
['i have a cold', '風邪--名 を--助 ひき--動 まし--助 た--助']
['i have a cold', '私--名 は--助 風邪--名 を--助 ひい--動 た--助']
['i have a cold', 'かぜ--名 を--助 引い--動 て--助 いる--動 ん--名 だ--助']
['i have a twin', '私--名 に--助 は--助 双子--名 の--助 兄--名 が--助 いる--動']
['i have had it', 'もう--副 たくさん--名 だ--助']
['i know french', '私--名 は--助 フランス語--名 を--助 知っ--動 てる--動']
['i lied to you', 'あなた--名 に--助 嘘--名 を--助 つい--動 た--助']
['i like french', 'フランス語--名 が--助 好き--名 です--助']
['i like apples', '私--名 は--助 林檎--名 が--助 好き--名 です--助']
['i like apples', '私--名 は--助 りんご--名 が--助 好き--名 です--助']
['i like coffee', 'コーヒー--名 が--助 好き--名 です--助']
['i like horses', '私--名 は--助 馬--名 が--助 好き--名 です--助']
['i like movies', '私--名 は--助 映画--名 が--助 好き--名 です--助']
['i like sports', 'スポーツ--名 を--助 する--動 の--名 が--助 好き--名']
['i like sweets', '僕--名 は--助 甘党--名 だ--助']
['i like tennis', '私--名 は--助 テニス--名 が--助 好き--名']
['i like tennis', 'テニス--名 が--助 好き--名 です--助']
['i like trains', '電車--名 が--助 好き--名 だ--助']
['i like winter', '私--名 は--助 冬--名 が--助 好き--名 です--助']
['i like yellow', '私--名 は--助 黄色--名 が--助 好き--名 です--助']
['i love french', 'フランス語--名 が--助 堪ら--動 なく--助 好き--名 です--助']
['i love monday', '月曜日--名 が--助 大好き--名']
['i love apples', '私--名 は--助 りんご--名 が--助 大好き--名 です--助']
['i love coffee', 'コーヒー--名 が--助 好き--名 です--助']
['i love movies', '私--名 は--助 映画--名 が--助 大好き--名 です--助']
['i made supper', '私--名 は--助 夕食--名 を--助 作っ--動 た--助']
['i must go now', 'もう--副 行か--動 ね--助 ば--助 なり--動 ませ--助 ん--助']
['i must go now', 'もう--副 行か--動 なけれ--助 ば--助 なり--動 ませ--助 ん--助']
['i must go now', 'もう--副 行か--動 なく--助 ちゃ--助']
['i must go now', 'そろそろ--副 おい--動 と--動 まし--助 なけれ--助 ば--助 なり--動 ませ--助 ん--助']
['i need coffee', 'コーヒー--名 が--助 必要--名 な--助 ん--名 だ--助']
['i ought to go', '行く--動 べき--助 だ--助']
['i read a book', '私--名 は--助 本--名 を--助 読み--動 まし--助 た--助']
['i saw a plane', '飛行機--名 が--助 見え--動 た--助']
['i see a house', '家--名 が--助 見え--動 ます--助']
['i see a house', '家--名 が--助 見える--動']
['i sold a book', '私--名 は--助 本--名 を--助 売っ--動 た--助']
['i think i can', '出来る--動 と--助 思い--動 ます--助']
['i took a walk', '散歩--名 を--助 し--動 た--助']
['i use firefox', '私--名 は--助 Firefox--名 を--助 使っ--動 て--助 ます--助']
['i use firefox', '私--名 は--助 ファイアフォックス--名 を--助 使っ--動 て--助 い--動 ます--助']
['i use firefox', '火--名 狐--名 使い--名 です--助']
['i want a boat', '私--名 は--助 ボート--名 が--助 欲しい--形']
['i want a book', '私--名 は--助 本--名 が--助 欲しい--形']
['i want to cry', '泣き--動 たい--助 よ--助']
['i want to die', '死に--動 たい--助']
['i was at home', '私--名 は--助 家--名 に--助 い--動 た--助']
['i was bullied', '私--名 は--助 いじめ--名 に--助 あっ--動 た--助']
['i was bullied', '私--名 は--助 いじめ--動 られ--動 た--助']
['i was careful', '僕--名 は--助 注意深かっ--形 た--助']
['ill buy this', 'これ--名 、--記 買い--動 ます--助']
['ill eat here', 'ここ--名 で--助 食べ--動 ます--助']
['ill eat here', '私--名 は--助 ここ--名 で--助 食べ--動 ます--助']
['ill go first', '私--名 が--助 最初--名 に--助 行き--動 ます--助']
['ill help you', 'お手伝い--名 し--動 ます--助 よ--助']
['ill help you', '手伝っ--動 て--助 あげる--動 よ--助']
['ill kill him', 'あいつ--名 の--助 息の根--名 を--助 止め--動 て--助 やる--動']
['ill miss you', '寂しく--形 なり--動 ます--助']
['ill stop you', 'あなた--名 を--助 止める--動']
['ill tell you', '私--名 が--助 話し--動 ましょ--助 う--助']
['im a patient', '私--名 は--助 患者--名 です--助']
['im a student', '私--名 は--助 学生--名 です--助']
['im afraid so', '残念--名 ながら--助 その--連 よう--名 です--助']
['im all right', '私--名 は--助 大丈夫--名']
['im beautiful', '私--名 は--助 美しい--形']
['im easygoing', '私--名 って--助 のんき--名 な--助 の--助']
['im efficient', '私--名 は--助 できる--動 人間--名 だ--助']
['im efficient', '私--名 は--助 切れ者--名 だ--助']
['im exhausted', '疲れ--動 た--助 なあ--助']
['im exhausted', 'もう--副 ヘトヘト--名 です--助']
['im exhausted', 'くたくた--名 に--助 疲れ--動 まし--助 た--助']
['im exhausted', '私--名 は--助 大変--名 疲れ--動 て--助 い--動 ます--助']
['im exhausted', 'もう--副 くたくた--名 だ--助 よ--助']
['im exhausted', 'すっごく--形 疲れ--動 た--助']
['im exhausted', 'くたくた--名 に--助 疲れ--動 た--助']
['im exhausted', 'へとへと--名 に--助 疲れ--動 た--助']
['im exhausted', '疲れ--動 た--助 ー--名']
['im expecting', '妊娠--名 し--動 て--助 い--動 ます--助']
['im flattered', 'そう--副 言っ--動 て--助 いただける--動 と--助 嬉しい--形 です--助']
['im home mom', 'ただいま--感 、--記 お母さん--名']
['im home tom', 'トム--名 、--記 ただいま--感']
['im impatient', '私--名 は--助 気--名 が--助 短い--形 ん--名 だ--助']
['im impatient', '待ち--動 きれ--動 ない--助']
['im in boston', '私--名 は--助 ボストン--名 に--助 い--動 ます--助']
['im in boston', 'ボストン--名 に--助 来--動 て--助 い--動 ます--助']
['im in boston', 'ボストン--名 なう--形']
['im in charge', '担当--名 は--助 私--名 です--助']
['im just lazy', '私--名 は--助 ただ--接 ずぼら--名 な--助 だけ--助 です--助']
['im not a kid', '子ども--名 扱い--名 する--動 な--助 よ--助']
['im not a kid', 'もう--副 子ども--名 じゃ--助 ない--助 ん--名 だ--助 から--助']
['im not alone', '私--名 は--助 一--名 人--名 じゃ--助 ない--助']
['im not angry', '怒っ--動 て--助 なんか--助 い--動 ませ--助 ん--助 って--助 ば--助']
['im not angry', '怒っ--動 て--助 ませ--助 ん--助 よ--助']
['im not drunk', '私--名 は--助 酔っ--動 て--助 い--動 ない--助']
['im not lying', '私--名 は--助 嘘--名 を--助 つい--動 て--助 い--動 ませ--助 ん--助']
['im on a diet', '今--接 ダイエット--名 中--名 な--助 の--助']
['im on a diet', 'ダイエット--名 中--名 です--助']
['im satisfied', '満足--名 です--助']
['im satisfied', '満足--名 し--動 て--助 い--動 ます--助']
['im so hungry', 'めっちゃ--副 腹--名 ペコ--名 だ--助 わ--助']
['im surprised', '驚い--動 た--助']
['im too short', '私--名 は--助 背--名 が--助 低--形 すぎる--動']
['im unmarried', 'まだ--副 未婚--名 です--助']
['im very busy', '目--名 が--助 回る--動 ほど--助 忙しい--形 よ--助']
['im very busy', '大変--名 、--記 忙しい--形 です--助']
['im very busy', '私--名 は--助 とても--副 忙しい--形']
['im voting no', '反対--名 票--名 を--助 投じる--動 つもり--名 だ--助']
['ive found it', '見つかっ--動 た--助']
['ive got time', '私--名 は--助 時間--名 が--助 ある--動']
['is tom around', 'トム--名 は--助 近く--名 に--助 いる--動']
['is tom asleep', 'トム--名 は--助 眠っ--動 てる--動 の--助']
['is tom famous', 'トム--名 って--助 有名--名 な--助 の--助']
['is tom guilty', 'トム--名 が--助 犯人--名 な--助 ん--名 だろ--助 う--助 か--助']
['is tom lonely', 'トム--名 は--助 寂しい--形 ん--名 だろ--助 う--助 か--助']
['is tom nearby', 'トム--名 は--助 近く--名 に--助 いる--動']
['is tom stupid', 'トム--名 って--助 バカ--名']
['is he at home', '彼--名 は--助 家--名 に--助 い--動 ます--助 か--助']
['is he correct', '彼--名 は--助 正しい--形 です--助 か--助']
['is it raining', '雨--名 降っ--動 てる--動']
['is it serious', 'かなり--副 悪い--形 です--助 か--助']
['is it too big', '大き--形 すぎる--動']
['is that toms', 'あれ--名 は--助 トム--名 の--助']
['is that a cat', 'あれ--名 は--助 ネコ--名 です--助 か--助']
['is that right', 'そう--副 な--助 ん--名 です--助 か--助']
['is that right', 'そう--副 な--助 の--助']
['is that yours', 'それ--名 、--記 あなた--名 の--助']
['is there more', 'もっと--副 あり--動 ます--助 か--助']
['is this toms', 'これ--名 、--記 トム--名 の--名 です--助 か--助']
['is this toms', 'これ--名 トム--名 の--助']
['is this yours', 'これ--名 、--記 あなた--名 の--名 です--助 か--助']
['isnt it cool', 'これ--名 、--記 カッコ--名 よく--形 ね--助']
['isnt it cute', 'これ--名 、--記 かわいく--形 ない--助']
['isnt it hard', 'これ--名 、--記 難しく--形 ない--助 か--助']
['isnt it hard', 'これ--名 、--記 難しく--形 ね--助']
['isnt it nice', 'これ--名 、--記 よく--副 なく--形 ない--助']
['isnt it true', 'ほんと--感 じゃ--助 ない--助 の--助']
['isnt it true', 'マジ--名 だ--助 よ--助 ね--助']
['isnt it true', '本当--名 な--助 ん--名 じゃ--助 ない--助 です--助 か--助']
['isnt that so', '違い--動 ます--助 か--助']
['isnt that so', 'そう--副 じゃ--助 ない--助']
['it hurts here', 'ここ--名 が--助 痛い--形']
['it is raining', '雨--名 が--助 降っ--動 て--助 いる--動']
['it is snowing', '雪--名 が--助 ふっ--動 て--助 い--動 ます--助']
['it isnt mine', 'それ--名 は--助 私--名 の--助 では--接 あり--動 ませ--助 ん--助']
['it isnt mine', 'それ--名 、--記 私--名 の--助 じゃ--接 あり--動 ませ--助 ん--助']
['it might rain', '雨--名 が--助 降る--動 かも--助 しれ--動 ない--助']
['it smells bad', '超--接 臭い--形 よ--助']
['it wont hurt', '痛く--形 は--助 あり--動 ませ--助 ん--助']
['it wont open', '開き--動 そう--名 に--助 ない--助 わ--助']
['it wont work', 'もう--副 、--記 動か--動 ない--助 だろ--助 う--助 ね--助']
['its now', 'いま--名 二--名 時半--名']
['its pm', '午後--名 八--名 時--名 です--助']
['its a secret', 'それ--名 は--助 秘密--名 です--助']
['its all true', '全部--名 本当--名 の--助 こと--名 です--助']
['its annoying', '鬱陶しい--形 なあ--助']
['its business', 'それ--名 が--助 仕事--名 です--助']
['its dark now', 'あたり--名 は--助 もう--副 暗い--形']
['its exciting', 'スリル--名 が--助 ある--動 なあ--助']
['its for free', '無料--名 です--助']
['its for sale', '売り--動 もの--名 です--助']
['its freezing', '凍える--動 よう--名 だ--助 わ--助']
['its homemade', '自家製--名 です--助']
['its improved', '良く--形 なり--動 まし--助 た--助']
['its instinct', '直感--名 です--助']
['its midnight', 'もう--副 真夜中--名 だ--助']
['its my fault', '私--名 の--助 責任--名 です--助']
['its my money', 'それ--名 は--助 私--名 の--助 金--名 だ--助']
['its my treat', '僕--名 の--助 おごり--名 です--助 よ--助']
['its my treat', '私--名 の--助 おごり--名 だ--助']
['its not easy', '簡単--名 で--助 は--助 ない--形 な--助']
['its not fair', 'ずるい--形']
['its not fair', 'そんな--連 の--名 不公平--名 だ--助 よ--助']
['its not hard', '難しく--形 は--助 ない--形']
['its not here', 'ここ--名 に--助 は--助 ない--助 か--助']
['its not mine', 'それ--名 私--名 の--助 じゃ--接 あり--動 ませ--助 ん--助']
['its not true', 'それ--名 違う--動 よ--助']
['its not true', 'それ--名 嘘--名 だ--助 よ--助']
['its outdated', 'それ--名 は--助 時代遅れ--名 です--助']
['its possible', '可能--名 性--名 が--助 なく--形 は--助 ない--形']
['its possible', 'それ--名 も--助 あり--動 得る--動']
['its so quiet', 'ずいぶん--副 と--助 静か--名 だ--助 な--助']
['its so sweet', 'めっちゃ--副 カワイイ--名']
['its so weird', 'めっちゃ--副 変--名']
['its terrible', 'こりゃ--感 ひどい--形 わ--助']
['its too easy', '朝飯前--名 だ--助']
['its too hard', '難し--形 すぎる--動']
['its too late', '遅--形 すぎる--動']
['its too loud', '大き--形 すぎる--動 わ--助']
['its too loud', '派手--名 すぎる--動 よ--助']
['its unlikely', 'それ--名 は--助 あり--動 そう--名 に--助 ない--助 な--助']
['its very new', 'それ--名 は--助 とても--副 新しい--形 です--助']
['its very odd', 'それ--名 、--記 すごく--形 変--名']
['its very old', 'ずいぶん--副 と--助 古い--形 な--助']
['just a minute', '少々--副 お待ち--名 下さい--動']
['just a minute', '少々--副 お--接 まち--名 ください--動']
['just a minute', '少し--副 待っ--動 て--助 下さい--動']
['just a minute', 'ちょっと--副 待っ--動 て--助 下さい--動']
['just a minute', 'ちょっと--副 待っ--動 て--助 ね--助']
['just a minute', 'ちょっと--副 お待ち--名 下さい--動']
['just dont go', 'とにかく--副 行く--動 な--助']
['just enjoy it', 'ただ--接 楽しめ--動 ば--助 いい--形 ん--名 だ--助 よ--助']
['just find tom', 'とにかく--副 トム--名 を--助 探し--動 て--助 き--動 て--助']
['just get back', 'とにかく--副 戻っ--動 て--助 こい--動']
['just hurry up', 'とにかく--副 急げ--動']
['just touch it', 'まあ--副 触っ--動 て--助 み--動 て--助 よ--助']
['just trust me', 'とにかく--副 私--名 を--助 信じ--動 て--助']
['keep climbing', 'そのまま--副 登り--動 続け--動 て--助']
['keep in touch', '連絡--名 を--助 取り合お--動 う--助']
['keep in touch', '連絡--名 ちょうだい--名']
['keep in touch', '連絡--名 を--助 取り合お--動 う--助']
['keep in touch', '連絡--名 ちょうだい--名']
['keep in touch', '連絡--名 し--動 て--助 ね--助']
['keep in touch', '便り--名 を--助 ください--動']
['keep it quiet', '他言--名 は--助 無用--名 だ--助']
['keep it quiet', 'ここ--名 だけ--助 の--助 話--名 に--助 し--動 て--助 おい--動 て--助']
['keep paddling', '漕ぎ--動 続け--動 て--助']
['leave it here', 'ここ--名 に--助 置い--動 て--助 おい--動 て--助']
['let tom relax', 'トム--名 を--助 リラックス--名 さ--動 せ--動 て--助']
['let go of tom', 'トム--名 を--助 放せ--動']
['let him do it', 'やら--動 せ--動 て--助 あげ--動 な--助 よ--助']
['let me finish', '最後--名 まで--助 言わ--動 せ--動 て--助 ください--動']
['let me see it', 'ちょっと--副 見せ--動 て--助 下さい--動']
['let me try it', '僕--名 に--助 やら--動 せ--動 て--助']
['lets ask him', 'あの--連 人--名 に--助 頼ん--動 で--助 みよ--動 う--助']
['lets ask him', 'あの--連 人--名 に--助 きい--動 て--助 みよ--動 う--助']
['lets be fair', 'フェア--名 に--助 行こ--動 う--助 ぜ--助 、--記 フェア--名 に--助']
['lets give up', 'もう--副 諦めよ--動 う--助 よ--助']
['lets go home', '家--名 へ--助 帰り--動 ましょ--助 う--助']
['lets just go', 'とにかく--副 行っ--動 て--助 みよ--動 う--助']
['lets move it', 'これ--名 を--助 動かそ--動 う--助']
['lets open it', '開け--動 て--助 みよ--動 う--助']
['lets try one', '一つ--名 食べ--動 て--助 みよ--動 う--助']
['life is short', '人生--名 は--助 短い--形']
['life is sweet', '人生--名 は--助 楽しい--形']
['life is tough', '人生--名 は--助 苦--名 なり--助']
['lock the door', 'ドア--名 を--助 ロック--名 し--動 て--助']
['lock the door', 'ドア--名 に--助 鍵--名 を--助 かけ--動 て--助']
['lock the gate', '門--名 に--助 かぎ--名 を--助 掛け--動 なさい--動']
['look at these', 'これ--名 見--動 て--助 よ--助']
['look at those', 'あれ--名 を--助 見--動 て--助']
['love is blind', '恋--名 は--助 本来--名 盲目--名 で--助 ある--助']
['love is crazy', '愛--名 は--助 狂気--名']
['make a choice', '好き--名 な--助 の--名 選ん--動 で--助']
['make it quick', '急い--動 で--助 やっ--動 て--助']
['make it short', '手短--名 に--助 おねがい--名']
['make your bed', 'ベッドメイキング--名 を--助 し--動 なさい--動']
['make your bed', 'ベッド--名 を--助 整え--動 て--助']
['man is mortal', '人--名 は--助 必ず--副 死ぬ--動']
['mary is a fox', 'メアリー--名 は--助 実に--副 セクシー--名 だ--助']
['mary is a mom', 'メアリー--名 は--助 母親--名 です--助']
['mary is weird', 'メアリー--名 は--助 変わっ--動 て--助 いる--動']
['may i ask why', '理由--名 を--助 聞い--動 て--助 も--助 いい--形']
['may i ask why', '理由--名 聞い--動 て--助 も--助 いい--形']
['may i come in', '入っ--動 て--助 も--助 よろしい--形 です--助 か--助']
['may i come in', '入っ--動 て--助 も--助 いい--形 です--助 か--助']
['may i go home', '私--名 は--助 帰宅--名 し--動 て--助 も--助 よい--形 です--助 か--助']
['may i go too', '私--名 も--助 行っ--動 て--助 も--助 いい--形']
['may we go now', 'もう--副 行っ--動 て--助 も--助 いい--形']
['meet me there', 'そこで--接 落ち合お--動 う--助']
['memorize this', 'これ--名 を--助 暗記--名 し--動 なさい--動']
['my back aches', '背中--名 が--助 痛い--形']
['my back hurts', '背中--名 が--助 痛い--形']
['my back hurts', '背中--名 が--助 痛む--動']
