
Go	検索
I can't draw	（ダイアナ）ストローは？
I can't help	僕は手伝えない
I can't move	"動けないよ！"
I can't read	エジプトのスフィンクスじゃあるまいし
I can't sing	- 歌えない
I can't stay	- もたない
I can't swim	泳げないんだ
I can't talk	機密事項だ
I can't wait	それが楽しみよ
I can't walk	歩けない
I cried, too	私も泣いた
I cut myself	切り傷をしてしまった
I deserve it	それに値する
I detest Tom	トムを嫌う
I didn't lie	嘘はついてない
I didn't pay	払わななかった。
I didn't win	勝てなかった
I do hope so	全くそうなってほしものですよ。
I do my best	得意なんだ
I do want it	それが是非欲しい。
I don't care	私は気にしないでください
I don't know	わからない
I don't mind	あ 車はいいんですけど
I don't read	yomanai
I don't sing	信じてない
I drank milk	私は牛乳を飲みました。
I drink beer	私はビールを飲む
I drink milk	牛乳を飲む
I drink wine	私はワインを飲みます
I eat cheese	私はチーズを食べます
I enjoy life	みたいな意味なんですけれども
I feel alive	生きていることを実感する。
I feel dizzy	目眩がする
I feel great	すごく気分がいいよ
I feel happy	私は幸せだ。
I felt giddy	めまい感
I felt naked	裸になった
I found them	これを見つけたんで...
I go jogging	ジョギングに行く
I go to work	仕事に取りかかる
I had doubts	私はいぶかしく思った。
I hate beans	豆嫌い
I hate liars	嘘つきは嫌い
I hate sushi	寿司が嫌いです。
I hate tests	テストが嫌い
I hate those	私はそれらが嫌いです
I have a car	車でいます
I have a dog	犬を飼ってる
I have a map	地図があります
I have a pen	私はペンを持っている。
I have hives	じんましんが出ました。
I have money	- 50ドル持ってます
I have proof	証拠があるわ
I have to go	じゃあ 行くね
I have water	水があります
I hear music	音楽が聞こえる。
I helped Tom	トムを助けた
I hope I win	いっぱいかつといいね
I hugged Tom	トムを抱きしめた
I hugged her	彼女を抱きしめた。
I improvised	即興で来た
I keep a dog	私は犬を一匹飼ってます。
I let him go	I let him go 私が 彼を 逃がしてしまった
I like books	- 本が好きなの
I like bread	私はパンが好きです
I like candy	キャンディが好きです
I like girls	そうね 女の子みたいに
I like pizza	-ピザが好きなんだ
I like sugar	砂糖が好き
I like sushi	寿司が好きです。
I like these	私は、この子たちが好きだ
I like women	私は女性が好き
I live alone	ひとりだよ
I lost a bet	期待はずれ
I love books	本は大好き
I love bread	パンが大好き
I love games	ゲームが大好きだ。
I love jokes	-ジョーク大好きだ
I love money	私はお金が大好き。
I love pizza	ピザが大好き
I love trips	旅行が好きです。
I loved that	それで良かった
I made a bet	私は賭けをしました
I made it up	作り話にしたのに
I made these	私が作った
I missed you	どうしてた？
I must hurry	私は急がなければなりません
I must study	私は勉強しなければなりません。
I need a cab	タクシーが必要です
I need a car	車が必要なんだ
I need a hug	抱きしめてほしい
I need a job	仕事を下さい
I need a map	地図が欲しい
I need a nap	昼寝したい
I need money	おカネがいるの
I need paint	ペンキが必要
I need proof	- 証拠が要る
I need sleep	寝かせてほしいよ
I need water	水をちょうだい
I often read	私はよく読んだ
I phoned him	- 僕が呼んだんだ
I play piano	私はピアノを弾きます。
I rarely cry	めったに泣かない
I read a lot	私はたくさん読みます
I read books	僕は本をよみます。
I see a book	本を見ます
I see a lion	ライオンが見える
I see a star	星が見える
I seldom cry	私はめったに泣かない
I sell fruit	果物を売る
I slept fine	私は元気に寝ました
I smelled it	匂いがした
I suppose so	あり得ますね
I swim a lot	私はたくさん泳ぎます
I sympathize	良く分かります
I talk a lot	私はたくさん話します
I teased Tom	トムをからかった
